route_id,route_short_name,direction_id,time_band,trips,median_runtime_min,p10_runtime_min,p90_runtime_min,runtime_spread_min,layovers,median_layover_min,p10_layover_min,p90_layover_min,layover_score,runtime_score,fragility_score,why
132,132,0,Midday (9–15),15,24.0,24.0,24.0,0.0,,10.0,,,0.0,0.0,0.0,moderate
132,132,0,Overnight (0–6),5,18.0,7.960000000000001,21.6,13.64,,10.0,,,0.0,0.38971428571428574,19.5,moderate
132,132,0,PM Peak (15–19),11,22.0,22.0,22.0,0.0,,10.0,,,0.0,0.0,0.0,moderate
132,132,1,AM Peak (6–9),10,25.0,22.94,25.0,2.0599999999999987,8.0,0.0,0.0,2.0,1.0,0.05885714285714282,52.9,no recovery time
132,132,1,Evening (19–24),11,24.0,24.0,27.0,3.0,11.0,0.0,0.0,3.0,1.0,0.08571428571428572,54.3,no recovery time
132,132,1,Midday (9–15),14,24.0,24.0,24.0,0.0,15.0,0.0,0.0,0.0,1.0,0.0,50.0,no recovery time
132,132,1,Overnight (0–6),4,24.0,10.280000000000001,24.0,13.719999999999999,5.0,0.0,0.0,3.0,1.0,0.39199999999999996,69.6,no recovery time
132,132,1,PM Peak (15–19),11,27.0,27.0,27.0,0.0,11.0,0.0,0.0,0.0,1.0,0.0,50.0,no recovery time
133,133,0,AM Peak (6–9),14,47.0,42.0,47.0,5.0,13.0,13.0,9.0,13.8,0.0,0.14285714285714285,7.1,moderate
133,133,0,Evening (19–24),20,44.0,41.0,44.0,3.0,20.0,17.0,4.0,17.0,0.0,0.08571428571428572,4.3,moderate
133,133,0,Midday (9–15),30,46.0,45.0,47.0,2.0,30.0,13.0,13.0,13.0,0.0,0.05714285714285714,2.9,moderate
133,133,0,Overnight (0–6),9,41.0,40.833333333333336,42.0,1.1666666666666643,5.0,4.0,4.0,7.0,0.6,0.033333333333333263,31.7,moderate
133,133,0,PM Peak (15–19),24,50.0,50.0,50.0,0.0,23.0,13.0,9.2,13.0,0.0,0.0,0.0,moderate
133,133,1,AM Peak (6–9),29,12.0,12.0,45.0,33.0,26.0,1.0,0.0,4.5,0.9,0.9428571428571428,92.1,"no recovery time, high schedule variability"
